ID	Family Name	Given Name	Other Names	Advised By	Degree Year
1	Anderson	Ernest	Willard	258	1933
2	Higdon	Archie		258	1936
3	Rock	Donald	Hill	258	1939
4	Thorne	Charles	Joseph	239	1941
5	Tripp	Ralph	Harry	258	1942
6	Stiles	William	B.	258	1945
7	Langenhop	Carl	Eric	281	1948
8	Beach	James	W.	258	1948
9	Block	Henry	David	281	1949
10	Bortle	Frank	E.	258	1949
11	Engelbrecht	Alfred	E.	1	1949
12	Goss	Robert	Nicholas	258	1950
13	Payne	Lawrence	Edward	258	1950
14	Chu	Jun	Tsu	5186	1950
15	Reeves	Roy	Franklin	281	1951
16	Lambert	Robert	Joe	5186	1951
17	Wedel	Arnold	Marion	281	1951
18	Worsing	Robert	Arnold	258	1951
19	Bolie	Victor	Wayne	4949	1952
20	Chong	Frederick		258	1952
21	Lindahl	Clarence	Homer	5186	1952
22	Feyerherm	Arlin	Martin	5186	1952
23	Gates, Jr.	Leslie	D.	9	1952
24	Mills	Harlan	Duncan	5186	1952
25	Dyer	Walter	George	258	1952
26	Branstetter	Robert	Dean	5186	1953
27	Cargal	Buchanan		281	1953
28	Hrubecky	Henry	Francis	1, 9	1953
29	Smith	Newton	Birrell	281	1954
30	Benson	Dean	Clifton	4949	1954
31	Klopfenstein	Ralph	Walter	1	1954
32	Swartz	William	John	7	1955
33	Richmond	Donald	Eugene	7	1955
34	Weeg	Gerard	Paul	5186	1955
35	Yett	Fowler	Redford	7	1955
36	Heckart	Hoarold	Alexander	284	1957
37	Low	Roger	Dean	284	1958
38	Meisters	Gary	Hosler	7	1958
39	Ruggles	Ivan	Dale	7	1958
40	Raab	Wallace	Albert	284	1958
41	Montgomery	William	Duane	5186	1958
42	Kodres	Uno	Robert	281	1958
43	Martin	Nathaniel	Frizzel Grafton	281	1959
44	Anderson	Jack	Morell	5186	1959
45	Rygg	Paul	Theodore	5186	1959
46	Mathews	Jerold	Chase	281	1959
47	Nolte	Sidney	Dean	281	1959
48	Fink	A. M.	(Arlington Michael)	7	1960
49	Dean	Lura	Cecil	268	1960
50	Goering	Orville		268	1960
